NAMN,ÅLDER_PÅ_VALDAGEN,KÖN,PARTIBETECKNING,PARTIFÖRKORTNING
Marcus Walldén,51,M,Moderaterna,M
Claudia Crowley Sörensson,38,K,Moderaterna,M
Lena Wibroe,65,K,Moderaterna,M
Anton Olsson,25,M,Moderaterna,M
Margareta Löfström,69,K,Moderaterna,M
Nette Schölin,47,K,Sverigedemokraterna,SD
Helena Vuorio,50,K,Sverigedemokraterna,SD
Thomas Löfgren,73,M,Sverigedemokraterna,SD
Mats Johnsson,65,M,Sverigedemokraterna,SD
Pernilla Wikelund,57,K,Sverigedemokraterna,SD
Heino Johansson,66,M,Sverigedemokraterna,SD
Irene Augustsson,79,K,Sverigedemokraterna,SD
Sara Iranshahi,39,K,Sverigedemokraterna,SD
Robin Berg,28,M,Sverigedemokraterna,SD
Christer Svensson,52,M,Sverigedemokraterna,SD
Pär Augustsson,25,M,Sverigedemokraterna,SD
Robert Fredriksson,50,M,Sverigedemokraterna,SD
Susanne Seluska,55,K,Vänsterpartiet,V
Emelie Berg,31,K,Vänsterpartiet,V
Christian Johansson,46,M,Vänsterpartiet,V
Jerker Nilsson,54,M,Vänsterpartiet,V
Linda Fager,48,K,Vänsterpartiet,V
Jonas Wanér,60,M,Vänsterpartiet,V
Jenny Danielsson,48,K,Vänsterpartiet,V
Johnny Werlöv,41,M,Vänsterpartiet,V
"Gertrud ""Atti"" Andersson",56,K,Vänsterpartiet,V
Tensaye Lindquist,19,K,Vänsterpartiet,V
Jan Hammerå,59,M,Vänsterpartiet,V
Kristian Rappner,48,M,Vänsterpartiet,V
Annika Andersson,51,K,Vänsterpartiet,V
Lena Blomquist,68,K,Vänsterpartiet,V
Dalala Abdel Gani Pettersson,66,K,Vänsterpartiet,V
Håkan Frizén,73,M,Vänsterpartiet,V
Örjan Mossberg,75,M,Vänsterpartiet,V
Linnéa Naess,35,K,Vänsterpartiet,V
Robert Armblad,33,M,Vänsterpartiet,V
Maria Garmer,41,K,Vänsterpartiet,V
Matthias Sjöberg,46,M,Vänsterpartiet,V
Kerstin Wiréhn,66,K,Vänsterpartiet,V
Joakim Olsson,42,M,Vänsterpartiet,V
Gustaf Hulting,35,M,Vänsterpartiet,V
Lena Hallengren,48,K,Arbetarepartiet-Socialdemokraterna,S
Torsten Carlsson,79,M,Arbetarepartiet-Socialdemokraterna,S
Matilda Wärenfalk,44,K,Arbetarepartiet-Socialdemokraterna,S
Ilko Corkovic,55,M,Arbetarepartiet-Socialdemokraterna,S
Lejla Radovic,44,K,Arbetarepartiet-Socialdemokraterna,S
Jarkko Pekkala,52,M,Arbetarepartiet-Socialdemokraterna,S
Diana Bergeskans,65,K,Arbetarepartiet-Socialdemokraterna,S
Anders Lundell,50,M,Arbetarepartiet-Socialdemokraterna,S
Jenny Melander,26,K,Arbetarepartiet-Socialdemokraterna,S
Daniel Nestor,26,M,Arbetarepartiet-Socialdemokraterna,S
Jeanette Persson,56,K,Arbetarepartiet-Socialdemokraterna,S
Tomas Kronståhl,55,M,Arbetarepartiet-Socialdemokraterna,S
Erik Jonsson,41,M,Arbetarepartiet-Socialdemokraterna,S
Emöke Bokor,45,K,Arbetarepartiet-Socialdemokraterna,S
Magnus Gabrielsson,42,M,Arbetarepartiet-Socialdemokraterna,S
Maria Ixcot Nilsson,47,K,Arbetarepartiet-Socialdemokraterna,S
Javid Shirzad,28,M,Arbetarepartiet-Socialdemokraterna,S
Angelica Katsanidou,39,K,Arbetarepartiet-Socialdemokraterna,S
Simon Josefsson,20,M,Arbetarepartiet-Socialdemokraterna,S
Jeanette Sandström,46,K,Arbetarepartiet-Socialdemokraterna,S
Martin Nilsson,27,M,Arbetarepartiet-Socialdemokraterna,S
Anita Hultgren,64,K,Arbetarepartiet-Socialdemokraterna,S
Laila Naraghi,40,K,Arbetarepartiet-Socialdemokraterna,S
Staffan Hederberg,59,M,Arbetarepartiet-Socialdemokraterna,S
Cissi Hammar,51,K,Arbetarepartiet-Socialdemokraterna,S
Joel Schäfer,43,M,Arbetarepartiet-Socialdemokraterna,S
Anna Thore,41,K,Arbetarepartiet-Socialdemokraterna,S
Mikael Lång,55,M,Arbetarepartiet-Socialdemokraterna,S
Zeljka Krajinovic,49,K,Arbetarepartiet-Socialdemokraterna,S
Dan Nilsson,46,M,Arbetarepartiet-Socialdemokraterna,S
Lena Segerberg,66,K,Arbetarepartiet-Socialdemokraterna,S
Stephan Quist Karlsson,42,M,Arbetarepartiet-Socialdemokraterna,S
Sebastian Rohwedder,34,M,Arbetarepartiet-Socialdemokraterna,S
Björn Petersson,40,M,Arbetarepartiet-Socialdemokraterna,S
Nermina Mizimovic,49,K,Arbetarepartiet-Socialdemokraterna,S
Michael Ländin,57,M,Arbetarepartiet-Socialdemokraterna,S
Martina Aronsson,47,K,Arbetarepartiet-Socialdemokraterna,S
Marcus Fridlund,30,M,Arbetarepartiet-Socialdemokraterna,S
Camilla Stridh,44,K,Arbetarepartiet-Socialdemokraterna,S
Stihna Johansson Evertsson,45,K,Centerpartiet,C
Jessica Jämtin,39,K,Centerpartiet,C
Anders Johansson,52,M,Centerpartiet,C
Linda Eriksson,48,K,Centerpartiet,C
Håkan Lundgren,68,M,Centerpartiet,C
"Åsa ""Felix"" Everbrand",60,K,Centerpartiet,C
Johan Jonsson,39,M,Centerpartiet,C
Erik Ciardi,49,M,Centerpartiet,C
Magnus Larsson,40,M,Centerpartiet,C
Peter Karlsson,56,M,Centerpartiet,C
Johanna Petersson,46,K,Centerpartiet,C
Eva Wahlgren,61,K,Centerpartiet,C
Henric Gustavsson,39,M,Centerpartiet,C
Ingela Svensson,65,K,Centerpartiet,C
Emma Bengtsson,38,K,Centerpartiet,C
Weronica Stålered,53,K,Centerpartiet,C
Ingemar Einarsson,65,M,Centerpartiet,C
Emma Halme,40,K,Centerpartiet,C
Filip Qvarnström,39,M,Centerpartiet,C
Emmy Ahlstedt,41,K,Centerpartiet,C
Michael Andersson,60,M,Centerpartiet,C
Lars Sandberg,56,M,Centerpartiet,C
Staffan Larsson,66,M,Centerpartiet,C
Ellen Olsson,30,K,Centerpartiet,C
Christofer Johansson,42,M,Centerpartiet,C
Abetare Gashi,31,K,Centerpartiet,C
Ulf Larsson,61,M,Centerpartiet,C
Per Skogberg,46,M,Centerpartiet,C
Kjell-Åke Larsson,65,M,Centerpartiet,C
Alexander Steinvall,36,M,Centerpartiet,C
Thomas Halkjaer,52,M,Centerpartiet,C
Hans Sabelström,57,M,Centerpartiet,C
Johan Åhlund,51,M,Centerpartiet,C
Emelie Sjöqvist,36,K,Centerpartiet,C
Ronny Olsson,68,M,Centerpartiet,C
Mikael Larsson,51,M,Centerpartiet,C
Niklas Hellström,52,M,Centerpartiet,C
Martin Engström,34,M,Centerpartiet,C
Michael Carlsson,59,M,Centerpartiet,C
Oliver Day Jensen,18,M,Centerpartiet,C
Jaafar Al Jabiri,27,M,Centerpartiet,C
Evelina Strömberg,21,K,Centerpartiet,C
Fredrik Lindwall,55,M,Centerpartiet,C
Anna Västerslät,45,K,Centerpartiet,C
Lars Rosander,63,M,Centerpartiet,C
Daniel Braw,41,M,Kristdemokraterna,KD
Christopher Dywik,38,M,Kristdemokraterna,KD
Andreas Salomonsson,21,M,Kristdemokraterna,KD
Maud Ärlebrant,63,K,Kristdemokraterna,KD
Folke Pleijert,42,M,Kristdemokraterna,KD
Margreth Johansson,65,K,Kristdemokraterna,KD
Andreas Englund,31,M,Kristdemokraterna,KD
Björn Östman,47,M,Kristdemokraterna,KD
Marwin Johansson,68,M,Kristdemokraterna,KD
Margareta Kröger,74,K,Kristdemokraterna,KD
Lars Elmborg,66,M,Kristdemokraterna,KD
Helena Berzelius,51,K,Kristdemokraterna,KD
Anna Larsdotter,35,K,Kristdemokraterna,KD
Jorge Chavez,59,M,Kristdemokraterna,KD
Ola Gustafsson,47,M,Kristdemokraterna,KD
